rest_id,name,address,rate,latitude,longitude,street food,mediterranean,homemade,italian,pasta,burger,mexican,salad,vegan,vegetarian,wraps,kosher,breakfast,sandwich,soup,french,hummus,dessert,bakery,sweets,steak,pizza,asian,meat,ice cream,smoothie,cafe,healthy,american,indian,fish,thai,kebab,sushi,japanese,bowl,kids
17,Schnitzel Shika,"Yigal Alon 121, Tel-Aviv",8.4,32.0749125,34.7954481,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Schnitzel Ha'Kikar,"Ibn Gvirol 79, Tel-Aviv",7.8,32.0838664,34.7811997,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Mela,"Flower Ayatolies 20, Tel Aviv, Tel-Aviv",9.2,,,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Hummus Ha'achim,"Bialik 14, Ramat Gan, Tel-Aviv",7.8,32.0801169,34.8150725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Hummus Haben Shel Hasuri | Yigal Alon,"Yigal Alon 121, Tel-Aviv",8.4,32.0749125,34.7954481,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,HaPatish 12,"Dad Hillel 3, Ramat Gan, Tel-Aviv",8.6,32.080045,34.822585,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Edmund Coffee,"Yehuda Halevi 33, Tel Aviv, Tel-Aviv",9.2,32.0617342,34.7714459,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
24,Hummus Ful House,"Hasmonean 119, Tel Aviv, Tel-Aviv",9,32.0944013,34.7843229,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Mifgash HaFalafel ve HaShawarma,"Etsel St 38, Tel Aviv, Tel-Aviv",8.2,32.0515033,34.7914653,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Pita Rehov | Ramat Gan,"Ze'ev Jabotinsky 8 Ramat Gan, Tel-Aviv",8.2,32.0826703,34.8037342,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Shawarma Ha'carmel,"Daniel 27, Tel Aviv Jaffa, Tel-Aviv",8.4,32.067598,34.766569,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Savta Sandwich Shop,"Stone Gvirol 65, Tel-Aviv",8.8,32.0652951,34.776259,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Hummus Hakerem | Ha'Rakevet,"Train 28, Tel Aviv, Tel-Aviv",9.2,,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,The Showroom Bakehouse | Pinkas,"A pinkas 3, Tel-Aviv",9.4,32.0911077,34.7835138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Cafe Dallal,"Jabotinsky 108, Tel Aviv, Tel-Aviv",8.2,32.0872434,34.7863786,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32,rebar Kosher | Bialik RG,"Bialik 76, Ramat Gan, Tel-Aviv",8.4,32.0857936,34.8115303,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
33,rebar | TLV Towers,"Nahalat yithakha, 18 televiv, Tel-Aviv",8,32.075597,34.799186,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
34,rebar | Mikado Center,"Aaron Becker 8, Tel Aviv, Tel-Aviv",8.6,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
35,Tabun Ben Yehuda,"Ben Yehuda 145, Tel-Aviv",7.6,32.0875178,34.7730724,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Mr. Donuts | Tel Aviv,"Ibn Gvirol 90, Tel Aviv, Tel-Aviv",8.4,32.0825736,34.7814777,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Bourekas Shel Ima | Levinski,"Levinski St 46, Tel-Aviv",8.6,32.0594197,34.772904,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Eats Cafeteria | Ben Gurion,"The priest person 1, Tel-Aviv",8.8,,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Salene Frietag Bagels,"Shenkin 16, Tel-Aviv",8.4,32.0694559,34.7720739,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Itzik's Grilled Chicken,"Jeremiah 52, Tel-Aviv",8.6,32.0949,34.778178,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Hummus Acram,"Sheinkin 59 Tel Aviv, Tel-Aviv",8.8,32.0684191,34.7773662,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Hummus Neri,"Tuval 36, Ramat Gan, Tel-Aviv",8.8,32.0861136,34.8027374,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Sabich Deluxe,"Hope Israel 1, Tel Aviv, Tel-Aviv",9,32.0366231,34.7962753,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Lechem Snir | BSR,"16 Bar Kochva ST, Bnei None, Israel, Tel-Aviv",8.2,32.0752227,34.772388,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Sabich Hasharon,"Tuval 34, Ramat Gan, Tel-Aviv",8.8,32.0862698,34.8028963,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Bourekas Tel Aviv,"A whole way 50, Tel-Aviv",9.2,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Hummus Ben Shel Suri | Carmel,"Hillel Old 10, Tel-Aviv",8.2,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Meet Meat,"Want 19 Ramat Gan, Tel-Aviv",7.6,32.068424,34.824785,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,SoBing | Ibn Gabirol,"Ibn Gvirol 65, Tel Aviv, Tel-Aviv",7.8,32.0791077,34.7811288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50,Coffee Street TLV,"Yigal Alon 65 Tel Aviv, Tel-Aviv",8.6,32.0657718,34.7922834,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Taam HaHummus,"The snail 2 Ramat Gan, Tel-Aviv",7.8,32.068424,34.824785,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Papaya Dog,"Pickle Pulmer 25, Tel-Aviv",8.2,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53,Etrogman | TLV,"Allenby 60, Tel-Aviv",8.6,32.06981,34.7703267,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
54,Bhagsu Cake | Ramat Gan,"Showed 12, Tel-Aviv",9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
55,rebar | Shuster,"Dad Ahimair 27, Tel-Aviv",8.4,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
56,Cafe Bucke | Yehuda Maccabi,"Yehuda Maccabi 40 Tel Aviv, Tel-Aviv",8.6,32.0937392,34.7914334,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
57,Golda | Weizmann City Mall,"Weizman 14, Tel Aviv, Tel-Aviv",8.8,32.081588,34.7892127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
58,Lilush,"Frishman 73, Tel-Aviv",8.6,32.0796678,34.7789079,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Arty,"Arlozorov 188 Tel Aviv, Tel-Aviv",8.2,32.0828497,34.7919669,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Reviva & Celia Deli,"Nissim Aloni 10, Tel-Aviv",8.4,32.0889232,34.7972939,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
61,Bread & Co,"Ben Yehuda 128 Tel Aviv, Tel-Aviv",8.6,32.0845783,34.7724064,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
62,Kaspi | Ben Yehuda,"Arlozorov 13 Tel Aviv, Tel-Aviv",8.6,32.0875446,34.772923,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Rocket Panini,"Rabbi Akiva 17, Tel Aviv, Tel-Aviv",8,32.0694266,34.7698137,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Bourekas Ramat Aviv,"Path nmir 170, Tel-Aviv",6.8,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Etzel Mali,"Harav Herzog Sat 27, Jeevayim, Tel-Aviv",8.8,32.095122,34.79644,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,McDonald's® Ichilov,"Weizmann st 14, Tel Aviv-Yafo, Tel-Aviv",6.8,32.081588,34.7892127,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Sprinkles Bakery,"Yigal Alon 94, Tel Aviv, Tel-Aviv",9,32.0685272,34.7941568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Khao-San,"Carmel 5, Tel Aviv Jaffa, Tel-Aviv",8.4,32.067833,34.767783,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
69,Hummus Ashkara,"45 Jeremiah, Tel-Aviv",8.6,32.0947151,34.7766799,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Anastasia,"Reigns 11, Tel-Aviv",9.2,32.0814683,34.7756025,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Menza | Homemade Food,"Tuval 28, Ramat Gan, Tel-Aviv",9,32.0867804,34.8031489,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Mifgash Bar Lin | Bursa,"Tuval 16, Ramat Gan, Tel-Aviv",8.6,32.0878082,34.8037221,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Hummus Hahagana,"Yigal Alon 2 Tel Aviv, Tel-Aviv",9.4,32.0541047,34.7917827,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Nuti Bakery,"Dizengoff 274, Tel Aviv, Tel-Aviv",9.4,32.0919345,34.7763881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Cafe Hamaniya,"Basel 37, Tel-Aviv",8.8,32.0899502,34.7802777,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
76,Sabich Tshernechovski,"Tchernichovsky 2, Tel-Aviv",8.6,32.0708204,34.770174,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Mido,"Ben Shemen 4, Tel Aviv, Tel-Aviv",9,32.075347,34.7945564,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Miznon Shiraz | TLV,"Meshi 6, Tel Aviv, Tel-Aviv",9.2,32.0675589,34.7701572,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Hummus Meddamas | Ramat Aviv,"Brazil 17, Tel Aviv, Tel-Aviv",8.2,32.1116561,34.7967855,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Vaniglia | Ibn Gabirol,"Ibn Gvirol 98 Tel Aviv, Tel-Aviv",8.8,32.0833803,34.7815438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
81,Sabich Frishman | Bursa,"Zissman Shalom 3, Ramat Gan, Tel-Aviv",8.6,32.0835776,34.8005059,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Sharon Ful,"Eilat 22, Tel-Aviv",9,32.0577162,34.763619,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Arcaffé | Sarona,"Kalman Protects 3, Tel-Aviv",8.8,,,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Paradiso Del Gelato,"Bethlehem 3, Tel Aviv, Tel-Aviv",9.2,32.0709057,34.7710848,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
85,Hummus Bahadunas | Yad Harutzim,"Handsmades 11 Tel Aviv, Tel-Aviv",8.6,,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Shawarma Corner,"UAV 2, Tel Aviv, Tel-Aviv",7.2,32.1447983,34.8025752,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
87,Congress Basel,"Ibn Gvirol 141, Tel-Aviv",8.8,32.0896682,34.7824496,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Empanado | Tel Aviv,"Carmel 7, Tel Aviv, Tel-Aviv",8.4,32.0697059,34.7701066,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Sabich Frishman | Ibn Gvirol,"Ibn Gvirol 64, Tel Aviv, Tel-Aviv",8.4,32.0798565,34.7815729,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Superfood Salad Bar,"Zissman Shalom 3 Ramat Gan, Tel-Aviv",8.4,32.0835776,34.8005059,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
91,Pizza By SHINE,"Solomon King 38, Tel-Aviv",8.6,32.07947235,34.77715705,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Jachnoon Call,"Jabotinsky 20, Ramat Gan, Tel-Aviv",8.4,32.083261,34.806262,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Chicken Rotisserie | Shenkin,"Shankin 55, Tel Aviv, Tel-Aviv",8.8,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Alegria,"Ibn Gvirol 165, Tel-Aviv",9.2,32.0922934,34.7829835,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
95,Hummus Abu Adham,"Carlebach 7, Tel Aviv, Tel-Aviv",9.2,32.0668327,34.7832866,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Dubnov 8,"Dubnov 8, Tel-Aviv",8.4,32.0746153,34.7838751,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Golda Kosher | Azrieli TLV,"Menachem Begin 132, Tel Aviv, Tel-Aviv",8.8,32.0930881,34.8322718,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
98,PokeShop | Ibn Gabirol,"Ibn Gvirol 62 Tel Aviv, Tel-Aviv",8.2,32.0792868,34.7816028,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
99,SUPER PIZZA,"Levontin 19 Tel Aviv, Tel-Aviv",8.8,32.0625914,34.7763019,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Nola American Bakery,"Dizengoff 197, Tel-Aviv",8.8,32.0870692,34.7748155,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Pokai,"Katznelson 50, Givatayim, Tel-Aviv",8.8,32.0751084,34.8072991,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
102,Carmeli's Bagels | TLV,"We were used 19, Tel Aviv, Tel-Aviv",9.2,,,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Pancake House TLV | Rabin Square,"Ibn Gvirol 61, Tel Aviv, Tel-Aviv",8.6,32.0787143,34.7811354,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Reno Emilia,"Through Dad Hillel 7 Ramat Gan, Tel-Aviv",8.8,32.080045,34.822585,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Iris's Kitchen,"Elimelech 1, Ramat Gan, Tel-Aviv",9,32.0865537,34.8152615,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Oh Mama,"King George 26 Tel Aviv, Tel-Aviv",8.6,32.071986,34.7737387,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Denita Shake,"Ibn Gvirol 86, Tel Aviv, Tel-Aviv",8.8,32.0823386,34.7814705,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
108,AMS Cookies,"Ben Yehuda 15, Tel Aviv, Tel-Aviv",8.8,32.0751294,34.7679243,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
