order_id,rest_id,name,description,price,items_id
2.37118E+37,360,Green Noodles,"Noodles, chicken / beef / tofu chunks, peas, carrots, spinach, purple and green onions in green curry and coconut milk, garnished with chopped peanuts. spicy",54,17
2.37118E+37,360,Eggplants,"eggplant slices, tempura-fried with a teriyaki-ginger sauce",22,30
2.37118E+37,360,Spring Roll,A crispy wrap filled with chicken and vegetables,14,7
2.37118E+37,360,Chooka Pie,"roll, filled with chocolate, covered with panko",14,75
2.37118E+37,360,Indian samosa,Fried dumplings stuffed with potatoes and peas in a spicy Indian seasoning served with curry sauce,26,11
8.6534E+37,720,Fungi - Mushrooms,"Tomato, permigano, mozzarella and mushroom sauce",28,16
8.6534E+37,720,Coca-cola ,"0,33",13,29
8.6534E+37,720,Arugula,"Tomato sauce, mozzarella, parmesan, cherry tomatoes and arugula",52,10
8.6534E+37,720,Fungi - Mushrooms Diameter 30,"Tomato, permigano, mozzarella and mushroom sauce",68,13
1.48389E+38,344,Aioli Truffles,Truffle puree aioli and black pepper,4,23
1.48389E+38,344,Side Salad,A refreshing salad accompanied by olive oil and lemon on the side,15,21
1.48389E+38,344,New Meat burger (VEGAN) ,"Vegan NEW MEAT burger, lettuce, tomato, pickle, pickled onion, secret sauce. (The vegetables come next to the dish)  The secret sauce contains mayonnaise ",59,18
1.48389E+38,344,FRIEDCHICKEN DEAL,"Kentucky Crispy Chicken, Garlic Aioli, Lettuce, Purple Onion, Pickle and Our Coleslaw Salad (Comes Along with the Dish)  Dish contains milk  Our business spicy dish includes a side dish and a drink of your choice????",61,3
1.48389E+38,344,CHEESEBURGER DEAL,"200 gram beef burger, cheddar cheese, lettuce, tomato, pickle, pickled onion, secret sauce. (The vegetables come alongside the dish) Our business includes a side dish and a drink of choice????",65,4
1.48389E+38,344,Coca Cola ,"0,33",10,28
1.48389E+38,344,Soda,"0,25",10,30
1.48389E+38,344,New Meat burger (VEGAN) ,"Vegan NEW MEAT burger, lettuce, tomato, pickle, pickled onion, secret sauce. (The vegetables come next to the dish)  The secret sauce contains mayonnaise ",59,18
5.4007E+37,795,Beyond Burger,"Patty from pea protein, lettuce, onion, tomato. Served with vegan mayonnaise and baked potato chunks. Served with potatoes and not with chips as in the picture",69,11
5.4007E+37,795,Vegan Pecan Pie ,Powdered sugar and coffee beans,44,20
3.09793E+38,98,Arizona Green Tea,"0,45",13,15
3.09793E+38,98,Jumex Mango,"0,5",13,17
3.09793E+38,98,Coca-Cola (a can),"0,33",10,7
3.09793E+38,98,Tuna Mayo Salad Poke,"Choose your base, toppings and sauces (served inside the dish)",49,5
3.09793E+38,98,Arizona Green Tea,"0,45",13,15
1.27124E+38,231,Grilled Red Tuna Steak,"Served ?with ?french fries, ?salad, a can of drink and house sauces",80,9
1.27124E+38,231,Tilapia,"Served ?with ?french fries, ?salad, ?tartare curry, a can of drink and house sauces",70,8
7.34552E+36,359,Tropicota,Gluten-free milk pancake with molecular fruit balls,55,112
7.34552E+36,359,Sashimi Salad ,"Slices of raw salmon, carrots, cucumber and gamba with seasonal fruit [melon], coriander, peanuts, fried rice noodle chips with cold rolled rice noodles in chili vinaigrette sauce  contains gluten ",57,25
7.34552E+36,359,Miso Soup,"With tofu, seaweed, and sprouts",26,18
7.34552E+36,359,Kurodai Maki,Gilt-head bream and one more ingredient,35,69
3.30894E+37,807,Tamago,1 Piece,16,62
3.30894E+37,807,Philadelphia,"Salmon, Cream Cheese, Cucumber and Avocado",69,56
3.30894E+37,807,Salmon Lemon I/O,"Asparagus, Shiitake Mushrooms, Tamago, Avocado, Seared Salmon and Lemon",83,36
2.12853E+38,767,Fattoush Salad,"Cherry tomatoes in a variety of colors, basil, sweet challah croutons, red onion and mozzarella de buffalo balls",46,14
2.12853E+38,767,Nestea Peach - plastic bottle,"0,5",10,31
2.12853E+38,767,Akbar Shakshuka,"Hot Jaffa shakshuka, 2 eggs. Comes alongside sweet challah, tahini and home olive mix",52,19
2.12853E+38,767,Polonari Pinot Grigio,"White wine, Italy 0.7",70,42
1.56719E+38,738,Coca-Cola (glass bottle),"0,33",11,17
1.56719E+38,738,Bourgogne Bottle,Large | 750 ml,120,15
3.35203E+38,527,Wazuka Cherry,"Ozuka black tea leaves, Japanese cherries and apricot almonds",34,6
3.35203E+38,527,Business eggplant in three - chicken,"Chicken in a sweet prickly sauce, white garlic and fresh coriander. Served with jasmine rice",115,30
3.31776E+38,69,Hummus Business Lunch,"Hummus of choice ,small chopped salad and drink of choice",55,2
3.31776E+38,69,Cooked Broad Beans in a Box,Choose 250 gr. / 500 gr.,18,4
1.03021E+38,605,Sabich Hummus,"Hummus with tahini, eggplant and hard boiled egg",41,6
1.03021E+38,605,Sprite (a can),"0,33",12,22
2.98057E+38,133,Sprite Can,0.33,11,35
2.98057E+38,133,New-York Style Cheesecake,"Baked Cheesecake on Butter cookie base, topped with Vanilla Chantilly, Raspberry Touille and berries",39,26
2.98057E+38,133,Reno Beyond Burger Meal ,"Pea protein patty, iceberg lettuce, tomato, pickle, purple onion in a brioche bun (parve)With a side and a drink to choose from",90,8
2.64615E+38,309,Veg Combination,"4 pcs tricolor | 4pcs Vegetarian Insideout | Maki Tamago (Japanese omelet) and cucumber Maki Cucumber, Oshinko (Japanese Radish) and Carrot 3 pieces of fried vegetable maki (hemp - Japanese pumpkin, avocado and carrot) - no changes can be made to this dish--",94,108
2.64615E+38,309,Crispy Shamchi Roll,"Sushi mushrooms, sweet potatoes in tempura and avocados coated in sweet potato chips - no changes can be made to this dish--",52,29
2.64615E+38,309,Maki Cucumber and Tamago,- No changes can be made to this dose--,36,23
1.39113E+38,527,Pad Thai Business,"Rice noodles, shrimp, tofu, egg, scallions, sprouts in tamarind glaze and peanuts (the dish contains fish sauce)  The dish is a little spicy",88,9
1.21184E+38,793,Coca Cola Can,"0,33",10,13
1.21184E+38,793,"Mozzarella, Tomato and Bulgarian 5%","Bulgarian 5% goat, mozzarella, Italian cuisine from roasted tomatoes, kalamata olives, green onions, purple onions roasted in stone and salsa verde",82,5
6.55458E+37,409,Easy business with drinks,Business without main for complete freshness come on assemble! Some of the options are extra charge,42,1
6.55458E+37,409,mineral water,"0,5",10,23
6.55458E+37,409,To a disassembled meat board,"Disassembled loach, asado and entree, lettuce, tahini and green sauce",52,8
6.55458E+37,409,Vegetarian Jara ,"Caramel burgers and onions, green lentil stew, grilled vegetables, roasted tofu, lettuce, tomato salad, scallions, pickled purple onions, corn, pepper and coriander salad, green sauce (not spicy), sour cream yogurt dip",49,2
6.55458E+37,409,Disassembled chicken,"Come on, ride!",51,11
1.5341E+38,493,Next Vilda Chaya,"American cheese, caramelized onions, sweet pickles and budga sauce",69,48
1.11816E+38,550,Don Luciano Red,"Dry Red wine Cabernet Sauvignon. 0,75",80,65
2.85407E+38,687,Cola Zero (can),"0,33",10,22
2.85407E+38,687,Italian pizza,"Mozzarella, sherry, basil and reduced balsamic",59,4
2.85407E+38,687,Fuze Tea - Peach,"0,5",10,29
3.28484E+38,254,New! Double Mc Chicken Meal,"Two juicy chicken patty, with lettuce and mayonnaise sauce, served on a toasted bunThe meal is served with an XL french fries and 520 ml drink",57,3
3.28484E+38,254,11 Crunchies,11 pieces of crunchy chicken with 5 sauces in Asian flavors of your choice,73,73
3.28484E+38,254,Mega Crispy Chicken,"Crispy chicken breast in a mega bun with premium lettuce, tomato, and Royal sauce",36,109
1.89435E+38,684,Tax-Max,"200g burger, chipotle aioli, lettuce, tomato, red onion, pickles, chili con carne, jalapeño and guacamole",54,7
2.22244E+38,101,Grape Flavored Mineral Water,"0,5",11,16
2.22244E+38,101,Chopsticks ,please choose this item as many times as necessary,0,2
2.22244E+38,101,Peach Flavored Mineral Water,"0,5",11,15
2.22244E+38,101,Carlsberg,"0,33",20,18
2.22244E+38,101,Spicy Puna Tuna - Delicious Fire! ,"Choose a base, vegetables, sauces and crunch",59,4
2.22244E+38,101,Malka Blonde,"0,33",24,21
1.98197E+38,155,Coca-Cola (can),"0,33",12,13
1.98197E+38,155,Personal Salad,Changes daily | You may contact the restaurant in order to get a specific list of ingredients in the daily salad.,6,8
1.98197E+38,155,Cola Zero (can),"0,33",12,14
1.98197E+38,155,Juicy Chicken Legs,Juicy chicken on the grill in yellow and mushroom sauce from Grandma Tuni. You won't be able to stop licking your fingers.,55,7
1.98197E+38,155,Fanta (can),"0,33",12,17
1.98197E+38,155,Mineral Water (Neviot),"0,5",10,18
1.98197E+38,155,Coca-Cola (can),"0,33",12,13
1.98197E+38,155,Mineral Water (Neviot),"0,5",10,18
1.98197E+38,155,Prigat Grapes - glass bottle,"0,33",12,10
1.98197E+38,155,Sprite (can),"0,33",12,15
1.10604E+37,520,Hershey Crepe,Hershey spread and Hershey crumble,38,3
1.10604E+37,520,Kinley Soda,"0,25",8,17
1.10604E+37,520,Lotus Waffle,"Belgian waffle with rich cheesecake cream, lotus spread, lotus crumble and caramel toffee sauce",54,9
3.06796E+38,328,Omelet Sandwich,"Omelet in a bun, served with vegetables and sauces of choice",22,10
3.06796E+38,328,400g Lamb Burger,"400g lamb cutlet in a bun, served with vegetables and sauces of choice",67,7
3.32896E+38,32,beetroot juice,"celery, beet, apple juice",19,27
3.32896E+38,32,mix almonds,"Almond, honey, banana, natural marzipan, almond drink, regurt",26,19
3.32896E+38,32,green juice,"celery, spinach, cucumber, apple juice",19,26
3.32896E+38,32,Frozen strawberry,2.5 kg,90,38
1.34377E+38,9,Keren's Salad ,"Vegetable salad with Tahini, chickpeas and brown egg",42,3
1.34377E+38,9,Chard Cigar ,"Cigars filled with chard, served with yogurt sauce, mint leaves and Sumac",37,9
1.34377E+38,9,Pepsi Max (glass bottle),"0,33",10,17
1.34377E+38,9,Nesher Root Beer,0.3,10,22
1.34377E+38,9,Pepsi Max (glass bottle),"0,33",10,17
1.34377E+38,9,Diet 7UP (glass bottle),"0,33",10,19
1.34377E+38,9,Chard Cigar ,"Cigars filled with chard, served with yogurt sauce, mint leaves and Sumac",37,9
7.24121E+37,778,The carnivorous dish,"Beef noodles, smoked goose, chicken, purple onion and mushrooms",56,55
7.24121E+37,778,Sashimi,4 pieces of raw fish,36,34
9.91925E+37,603,NADAL BOX (8 POP UP BALL),"8 mini donut balls coated in a variety of flavors to choose from: chocolate and hazelnut chips, white chocolate and strawberry candies, white chocolate and caramel chips",50,15
9.91925E+37,603,MEDIUM DONUTS BOX (7 UNITS),7 donuts to choose from,84,9
9.91925E+37,603,STREET STYLE (4 PRETZEL),"4 Pretzels with filling of your choice - chocolate, almonds or vanila",60,13
3.23077E+38,643,Cola Zero (a can),"0,33",9,9
3.23077E+38,643,Fuze Tea - Peach,"0,5",10,15
3.23077E+38,643,Flavoured Water - Grape,"0,5",10,18
3.23077E+38,643,Fanta (a can),"0,33",9,10
3.23077E+38,643,Kinley Soda,"0,25",7,13
3.23077E+38,643,Disposable Cutlery ,Please choose this item as many times as there are diners in need of disposable cutlery,0,1
3.23077E+38,643,Cream Muhallebi,with red rose water syrup and peanut-coconut,15,7
3.23077E+38,643,Cream Muhallebi,with red rose water syrup and peanut-coconut,15,7
3.12853E+38,218,Gouda Pearls,"Gouda sheep cheese and fresh mozzarella mixed together and tossed on caramelized onion jam, a handful of arugula and green onions",44,15
3.12853E+38,218,Sprite (glass bottle),"0,33",14,76
3.12853E+38,218,Artichoke Sandwich ,"Beet tahini, salsa verde, Italian artichoke, cucumber and cherry tomato halvesChoose bread",36,43
3.12853E+38,218,Black quinoa salad and lentils ,"Radish, green and purple onions, kohlrabi, mint leaves and roasted pine nuts. Served with beetroot tahini",56,48
3.12853E+38,218,Italian Street Salad ,"Mix fresh leaves, roasted baby zucchini, pickled artichokes, colorful and radish cherries, with snow of goat cheese, sprinkled with olive oil and balsamic cream",56,30
7.87372E+37,60,Mountain Girl Camembert,150 g cattle milk cheese,36,46
7.87372E+37,60,Disposable Cutlery ,"Please choose this item as many times as there are diners in need of disposable cutlery-- In case this item won't be chosen, cutlery will not be sent --",0,1
7.87372E+37,60,Green Vegetables,"Broccoli, green beans, peas and mushroomsAbout 500 grams",50,21
8.55277E+37,679,Sprite (glass bottle),"0,33",14,24
8.55277E+37,679,Spicy Pepperoni Pizza ,"Tomato, mozzarella, provolone, pepperoni, olive, rocket and chili sauce",76,5
1.5794E+38,705,Diavola ,"Tomato Sauce, Mozzarella, Spicy Salami, Chili, Spicy Olive Oil",56,4
3.23937E+38,307,Guru Sake - Temporarily the dish comes out without tuna,"fresh salmon, avocado, tuna, on green leaves, sweet shiitake mushrooms and sesame, with a sauce of citrus ponzu or yuzu",68,20
1.03877E+38,370,Popcorn Cauliflower,"Crispy cauliflower in yuzu sauce, Japanese spicy mayonnaise and sesame seeds",54,6
1.03877E+38,370,Fuze Tea - Peach,"0,5",14,40
1.03877E+38,370,Coca Cola Zero,"0,33",13,37
1.03877E+38,370,Sprite ,"0,33",13,38
1.03877E+38,370,Sesame Niko,"A roll with sweet potato, cucumber. asparagus in tempura and tofu cheese with a roasted sesame coating",49,15
3.37287E+38,540,Pizza Trifunghi,"White base pizza, white truffle mascarpone, three types of mushrooms, mozzarella cheese, arugula leaves, and fresh chilli",88,7
2.38418E+38,278,"Ice Cream 0,5 Kg","You can choose up to 3 flavors including 3 cups, cups and spoons",64,5
2.73307E+38,791,Delicatessen Asian Chicken Salad,"Bean noodles, cucumber, hot red pepper, green onions, peanuts, coriander, parsley, sesame oil (no changes can be made to this dish)",26,16
2.73307E+38,791,Half red antinouri villa,"375 ml Tuscan red with aromas and flavors of ripe red fruits, cherries and plums. Medium body, subtle acidity and a long finish that accompanies a meal perfectly.",69,5
2.73307E+38,791,Pasta Pomodoré,"Tomato, oregano, garlic, basil and olive oil",54,26
2.73307E+38,791,Large San Pellegrino ,Delicate carbonated water 750 ml,16,43
2.73307E+38,791,Garlic Chicken Breast,"With olive oil, kalamata olives, tomatoes, garlic confit and basil",64,21
2.73307E+38,791,Half red antinouri villa,"375 ml Tuscan red with aromas and flavors of ripe red fruits, cherries and plums. Medium body, subtle acidity and a long finish that accompanies a meal perfectly.",69,5
2.058E+37,340,Bolognese redefine ,"New meat bolognese, tomato sauce, purple onion, garlic and chili",69,5
2.058E+37,340,Water tonic,0.20,14,56
2.35105E+38,522,Cutlet Tika Meal,"Breaded beef patty containing Indian spices, topped with tahini together with tomato & lettuce served fries and choice of soft drink. Tahini and spicy sauce, mint coriander chutney on the side",59,2
2.35105E+38,522,Coke ,"0,33",11,18
2.35105E+38,522,Diet Sprite ,"0,33",11,20
2.35105E+38,522,Tofu Tika ,"Tofu cubes coated with chickpea flour, carom seeds batter, topped with tomato chutney together with lettuce, red onion & tomato in a stone-baked pita. Tahini spicy sauce, mint coriander chutney on the side",42,15
2.35105E+38,522,?Tika Sauce,Our signature tangy tomato sauce packed with flavor brings the taste of India right into your pocket,3,17
1.67013E+37,432,Half challah and wipes,"Tahini, lava cashew, doa and olive oil, pickled and spicy",56,5
1.75446E+38,237,Crispy salmon,Coated chunks of salmon served with teriyaki sauce on the side,47,7
1.75446E+38,237,Moroccan prana,Baked on pebbles and served with 3 spices,26,4
6.46553E+37,379,Onion pizza and Kalamata olives,Kalamata olives and purple onions,68,4
6.46553E+37,379,Onion pizza and Kalamata olives,Kalamata olives and purple onions,68,4
1.10885E+38,370,Brulee,"Cucumber and kanpyo in a cauliflower tartar shell with burnt sweet chili in a burner, with chive chips",54,24
1.10885E+38,370,Unniko Poke,"Tofu, shitake mushrooms, rice, cucumber, avocado, crispy beet root, asparagus and sweet potato, with spicy mayo and soy",58,28
1.10885E+38,370,Spicy Uni-Tuna,"A mixture of portobello mushrooms, champignons, eggplant and cashews with truffle and city mayonnaise, in an avocado shell and fried onions",54,16
1.10885E+38,370,Udoniko,"Stir-fried udon noodles with green beans, mushrooms, sprouts, green onion and cabbageserved with protein of your choice",54,34
1.3408E+38,376,Rosa Penne ,You can ask for gluten free  ,48,36
1.3408E+38,376,Stella,0.33 ml,23,74
3.97464E+37,184,Mineral Water ,"0,50",11,50
3.97464E+37,184,Coca Cola ,"Glass bottle 0,33",13,47
3.97464E+37,184,Zucchini Balls ,Zucchini patties with a green salad and spicy cream drip and herbs,54,39
3.97464E+37,184,Mineral Water Apple Flavour ,"0,50",13,52
3.97464E+37,184,Fungi Tortellini ,Tortellini in cream and mushroom sauce,62,27
3.97464E+37,184,Mineral Water Apple Flavour ,"0,50",13,52
3.97464E+37,184,Weihenstephaner ,"Glass bottle 0,33",26,54
1.88602E+38,18,Falafel in a Baguette,Homemade falafel in a baguette on the spot,30,8
1.88602E+38,18,Goldstar ,0'33,17,22
1.88602E+38,18,Schnitzel in a Baguette,Slices of fresh chicken fillet in breadcrumbs,39,6
2.33005E+38,691,Crispy Chicken,"Chicken breast soaked in satiety and spices, overly crispy coating! Garlic aioli, house pickles, garlic pepper sauce and fermented honey, American cheese and lettuce served with chips and a drink",67,2
2.33005E+38,691,Crispy Chicken,"Chicken breast soaked in satiety and spices, overly crispy coating! Garlic aioli, house pickles, garlic pepper sauce and fermented honey, American cheese and lettuce served with chips and a drink",67,2
6.15266E+37,226,Fukacha Borata,"Baked focaccia with napolitan sauce, hot burata ball, fresh cherry tomatoes, baby spinach, kalamata, olive oil and reduced balsamic",62,33
6.15266E+37,226,Cold hot zucchini salad,"Hot fried zucchini cubes, crispy zucchini sticks, purple onion, garlic, coriander, parsley, toasted almonds and grated feta cheese seasoned with olive oil and lemon on a bed of stone. Served without focaccia",55,20
3.1649E+38,724,Cheese and Strawberry Crumble ,"Crusty bread crumbs, cheese, and strawberry sauceChoose size",22,37
3.1649E+38,724,Tuborg ,"0,33",24,39
3.1649E+38,724,Lasagna di Carne ,"Spinach pasta with bolognese filling, rosé sauce, and parmesan",62,20
3.1649E+38,724,Soda Water ,"0,25",9,47
1.51847E+38,208,Chenin Blanc Douglas Green (N. Africa),Sauvignon Blanc. 0.75,140,28
2.98861E+37,513,House bread with seasoning,"Pastry in olive oil, garlic and rosemary. Choose a size",27,3
2.98861E+37,513,Crispy salmon,Coated chunks of salmon served with teriyaki sauce on the side,47,7
2.98861E+37,513,Eggplant in tahini,"Roasted ballad eggplant in a brick oven, combined with chopped vegetable salad and tahini. Served hot on house bread",52,10
2.98861E+37,513,Disposable Cutlery ,Please choose this item as many times as there are diners in need of disposable cutlery,0,1
9.47347E+37,500,Onion Rings,Choose a size,16,17
9.47347E+37,500,Marinated Chicken Breast Salad ,"220 g chicken breast strips in a garlic, olive oil and spices marinade, served with lettuce, red onion, tomato, cucumber and sauces of your choice",45,9
9.47347E+37,500,Prime Angus Beef Hamburger,"Angus hamburger 160 / 220 / 320 / 440 g beef, served in a a bun with lettuce, red onion, tomato, pickles and sauces of your choice",39,3
1.66496E+38,299,Coca Cola Zero,"0,33",13,19
1.66496E+38,299, VG2 (vegan cheeseburger),"Vegan Redefine burger, vegan cheddar cheese, vegan spicy mayonnaise, American lettuce, tomato, purple onion and homemade pickled cucumber",78,7
5.05616E+36,281,Yogurt 1 Kg,Choose up to 6 toppings,100,9
3.18697E+36,650,Sprite (can),"0,33",12,16
3.18697E+36,650,Campari Soda ,"0,33",27,12
3.18697E+36,650,Sprite Zero (can),"0,33",12,17
2.19048E+38,192,Sprite,"0,33",10,17
2.19048E+38,192,Gofrre Home Waffles,"Belgian waffle, Nutella chocolate, white chocolate, ice cream ball to choose from",54,1
2.19048E+38,192,Yogurt M,0.75 litersServed with seven toppings and two sauces to choose from,80,12
1.64179E+38,716,Large case,Choose up to 7 flavors,129,2
1.64179E+38,716,Large yogurt case,Select up to 12 extensions,139,6
1.64179E+38,716,Large frozen case,"Choose your base and up to 6 components are important to know! - If they do not choose fruit, the frozen will come out more liquid",139,4
6.46637E+37,741,Sirene Toast,"Sirene, yellow cheese, onion, za'atar, and kalamata olives",34,22
6.46637E+37,741,Cola Zero (can),"0,33",12,30
6.46637E+37,741,Sprite Zero (can),"0,33",12,32
6.46637E+37,741,Fatush Salad,"Lettuce, tomato, cherry tomatoes, cucumber, spring onion, red onion, mint, sumac, za'atar, croutons, and feta cheese",54,10
2.70813E+38,823,Diana Beef and Lamb Burger 250 Gr,"Beef and Lamb, Served with Aioli, Tomato, Pickled Lemons and Green Onion",68,17
1.61477E+38,265,Ice Cream 1 Kg,"You can choose up to 4 flavors including 5 trophies, cups and spoons",108,7
1.61477E+38,265,"Ice Cream 0,25 Kg",Choose up to 2 flavorsyou can add cones,33,5
1.61477E+38,265,Doughnut Pack- 5 ,Choose 5 Doughnut ??????,60,15
1.61477E+38,265,"Ice Cream 0,25 Kg",Choose up to 2 flavorsyou can add cones,33,5
3.38673E+38,555,Gluten-free beef rice noodles,"Rice noodles with slices of beef sirloin in a gluten-free soy sauce, green beans, champignon mushrooms and chopped green onions",56,48
3.38673E+38,555,Soda Freya Can,"0,25",10,55
2.78394E+37,600,2 Night Cookies + 0.5 kg of Yogurt ,Up to 6 topping,96,14
3.1765E+38,342,Grilled Sea-bream Nigiri,Sushi rice and grilled sea-bream with teriyaki3 pcs,33,81
3.1765E+38,342,Cashew Chicken,"Fried Chicken, onion, mushrooms, spring onion, pepper, and crispy cashew with lemongrass caramelServed on rice with scrambled egg and garlic",63,37
3.1765E+38,342,Large Combination,"3 Salmon sashimi3 Nigiri - salmon, tuna, and Sea Bream4 Maki salmon tempura4 I/O Red tuna, avocado, spring onion, and cucumber4 I/O Salmon, avocado, carrot, and cucumber",99,46
3.1765E+38,342,Cashew Chicken,"Fried Chicken, onion, mushrooms, spring onion, pepper, and crispy cashew with lemongrass caramelServed on rice with scrambled egg and garlic",63,37
1.66985E+38,643,Flavoured Water - Grape,"0,5",10,18
1.66985E+38,643,Coca-Cola (a can),"0,33",9,8
1.66985E+38,643,Flavoured Water - Peach,"0,5",10,16
1.66985E+38,643,Classic Malawach,"With egg, zhug and tomato paste",25,6
1.66985E+38,643,Kinley Soda,"0,25",7,13
1.66985E+38,643,Flavoured Water - Apple,"0,5",10,17
1.66985E+38,643,The Ziva of Jahanon Gedera,"Ziva (cheese or pizza mix) with egg, zhug, puree, pickles and olives",34,5
1.66985E+38,643,Flavoured Water - Peach,"0,5",10,16
1.66985E+38,643,Fanta (a can),"0,33",9,10
3.18995E+38,623,Crispy Chicken,"Tempura chicken breast coated in panko crumbs, served on a hamburger bun with lettuce, tomato, purple onion and Caesar sauce",45,24
3.18995E+38,623,Entrecote Sandwich Meal ,"Entrecote strips, served on a hamburger bun with tomato lettuce, purple onion, fried onion and avocado spread",78,38
1.32025E+38,64,Cheese Bourekas,"Served with a hard-boiled egg, grated tomatoes, spicy sauce and pickled vegetables",35,13
1.32025E+38,64,Bulgarian Cheese & Spinach Bourekas ,"Served with a hard-boiled egg, grated tomatoes, spicy sauce and pickled vegetables",35,9
1.32025E+38,64,Knapa Istanbul,"Kaddif hairs, goat cheese and pistachios",44,32
1.32025E+38,64,Ice Coffee,"Yotvata 0,35",17,49
